iter	Passed	Remaining
190	636	2696
191	639	2692
192	643	2692
193	647	2690
194	650	2687
195	654	2683
196	657	2680
197	661	2679
198	665	2677
199	668	2673
200	671	2670
201	676	2671
202	679	2668
203	683	2665
204	686	2661
205	690	2660
206	693	2657
207	697	2654
208	700	2651
209	703	2647
210	707	2644
211	710	2640
212	713	2636
213	716	2631
214	719	2627
215	723	2626
216	726	2622
217	729	2617
218	732	2613
219	736	2611
220	739	2607
221	742	2603
222	746	2599
223	748	2594
224	751	2589
225	754	2585
226	758	2582
227	761	2578
228	764	2575
229	767	2570
230	771	2567
231	774	2563
232	777	2560
233	781	2557
234	784	2553
235	787	2549
236	790	2546
237	794	2543
238	797	2539
239	800	2535
240	804	2532
241	807	2529
242	810	2525
243	814	2522
244	817	2518
245	820	2515
246	823	2511
247	827	2507
248	830	2504
249	833	2500
250	836	2497
251	839	2493
252	843	2489
253	846	2485
254	849	2481
255	852	2477
256	855	2474
257	859	2470
258	862	2466
259	865	2462
260	868	2459
261	871	2455
262	874	2451
263	877	2447
264	880	2442
265	883	2439
266	887	2435
267	890	2431
268	893	2427
269	896	2423
270	899	2419
271	902	2416
272	905	2412
273	908	2407
274	911	2403
275	914	2399
276	918	2396
277	921	2392
278	924	2388
279	927	2383
280	930	2379
281	933	2376
282	936	2373
283	939	2369
284	942	2365
285	946	2361
286	949	2359
287	953	2356
288	956	2352
289	959	2348
290	962	2345
291	966	2342
292	969	2338
293	972	2335
294	975	2332
295	979	2328
296	982	2325
297	985	2322
298	989	2319
299	992	2315
300	995	2312
301	999	2309
302	1002	2305
303	1005	2302
304	1009	2299
305	1012	2296
306	1015	2293
307	1019	2289
308	1022	2286
309	1025	2283
310	1029	2280
311	1032	2277
312	1036	2273
313	1039	2270
314	1042	2267
315	1046	2265
316	1049	2261
317	1053	2259
318	1056	2256
319	1060	2253
320	1063	2250
321	1067	2247
322	1070	2244
323	1074	2241
324	1078	2239
325	1081	2235
326	1085	2233
327	1088	2230
328	1092	2227
329	1095	2224
330	1099	2222
331	1102	2219
332	1106	2215
333	1109	2213
334	1113	2209
335	1116	2206
336	1120	2203
337	1123	2200
338	1127	2197
339	1131	2195
340	1134	2192
341	1138	2190
342	1141	2187
343	1145	2185
344	1149	2181
345	1152	2178
346	1156	2176
347	1159	2173
348	1163	2169
349	1166	2166
350	1169	2162
351	1173	2159
352	1176	2156
353	1180	2153
354	1183	2150
355	1187	2147
356	1190	2144
357	1193	2140
358	1197	2137
359	1200	2133
360	1203	2130
361	1206	2127
362	1210	2123
363	1213	2119
364	1216	2115
365	1219	2112
366	1223	2109
367	1226	2105
368	1229	2102
369	1232	2098
370	1235	2095
371	1239	2091
372	1242	2087
373	1245	2083
374	1248	2080
375	1251	2076
376	1254	2073
377	1257	2069
378	1260	2065
379	1263	2061
380	1267	2058
381	1270	2055
382	1273	2051
383	1276	2047
384	1279	2043
385	1282	2040
386	1285	2036
387	1288	2032
388	1291	2029
389	1294	2025
390	1298	2022
391	1301	2018
392	1304	2014
393	1307	2011
394	1310	2007
395	1313	2003
396	1316	2000
397	1320	1996
398	1323	1992
399	1326	1989
400	1329	1985
401	1333	1983
402	1336	1980
403	1340	1977
404	1344	1974
405	1349	1973
406	1352	1971
407	1356	1967
408	1360	1965
409	1364	1962
410	1367	1959
411	1370	1956
412	1373	1952
413	1377	1949
414	1380	1946
415	1383	1942
416	1386	1938
417	1390	1935
418	1393	1931
419	1396	1928
420	1399	1925
421	1402	1921
422	1406	1917
423	1409	1914
424	1412	1910
425	1415	1907
426	1418	1903
427	1421	1899
428	1424	1895
429	1428	1893
430	1431	1889
431	1434	1885
432	1437	1881
433	1440	1878
434	1443	1874
435	1446	1870
436	1449	1867
437	1452	1863
438	1455	1859
439	1458	1855
440	1461	1852
441	1464	1848
442	1467	1845
443	1470	1841
444	1473	1837
445	1476	1834
446	1479	1830
447	1482	1827
448	1485	1823
449	1488	1819
450	1492	1816
451	1495	1813
452	1498	1809
453	1502	1806
454	1505	1802
455	1508	1799
456	1511	1796
457	1514	1792
458	1517	1789
459	1521	1785
460	1524	1782
461	1527	1778
462	1530	1775
463	1533	1771
464	1536	1767
465	1539	1764
466	1542	1761
467	1545	1757
468	1548	1753
469	1551	1749
470	1554	1746
471	1558	1743
472	1561	1739
473	1564	1735
474	1567	1732
475	1570	1728
476	1573	1725
477	1576	1721
478	1579	1717
479	1582	1714
480	1585	1710
481	1588	1707
482	1591	1704
483	1594	1700
484	1597	1696
485	1600	1693
486	1603	1689
487	1607	1686
488	1610	1682
489	1613	1679
490	1616	1675
491	1619	1672
492	1623	1669
493	1626	1665
494	1629	1662
495	1632	1658
496	1635	1655
497	1639	1652
498	1642	1649
499	1645	1645
500	1648	1642
501	1651	1638
502	1655	1635
503	1658	1631
504	1661	1628
505	1664	1624
506	1667	1621
507	1670	1617
508	1673	1614
509	1676	1610
510	1679	1607
511	1682	1603
512	1685	1600
513	1688	1596
514	1691	1593
515	1694	1589
516	1697	1586
517	1700	1582
518	1703	1579
519	1706	1575
520	1709	1572
521	1712	1568
522	1716	1565
523	1719	1561
524	1722	1558
525	1725	1554
526	1728	1550
527	1730	1547
528	1734	1543
529	1737	1540
530	1740	1536
531	1743	1533
532	1746	1530
533	1749	1526
534	1752	1523
535	1755	1519
536	1758	1516
537	1761	1512
538	1764	1509
539	1767	1505
540	1770	1502
541	1774	1499
542	1777	1496
543	1780	1492
544	1784	1489
545	1787	1486
546	1790	1482
547	1793	1479
548	1796	1476
549	1800	1472
550	1803	1469
551	1806	1466
552	1809	1462
553	1812	1459
554	1815	1455
555	1819	1452
556	1822	1449
557	1825	1445
558	1828	1442
559	1831	1439
560	1834	1435
561	1837	1432
562	1840	1428
563	1843	1425
564	1847	1422
565	1850	1418
566	1853	1415
567	1856	1411
568	1859	1408
569	1862	1405
570	1865	1401
571	1868	1398
572	1871	1394
573	1874	1391
574	1877	1387
575	1881	1384
576	1884	1381
577	1887	1377
578	1889	1374
579	1892	1370
580	1896	1367
581	1899	1364
582	1902	1360
583	1905	1357
584	1908	1353
585	1911	1350
586	1914	1347
587	1918	1344
588	1921	1340
589	1924	1337
590	1927	1334
591	1930	1330
592	1934	1327
593	1937	1324
594	1940	1320
595	1943	1317
596	1946	1314
597	1949	1310
598	1952	1307
599	1956	1304
600	1959	1300
601	1962	1297
602	1965	1294
603	1968	1290
604	1971	1287
605	1975	1284
606	1978	1280
607	1981	1277
608	1984	1274
609	1987	1270
610	1991	1268
611	1994	1264
612	1998	1261
613	2001	1258
614	2004	1255
615	2008	1252
616	2011	1248
617	2015	1245
618	2018	1242
619	2021	1239
620	2025	1236
621	2028	1232
622	2031	1229
623	2034	1226
624	2038	1222
625	2041	1219
626	2044	1216
627	2047	1212
628	2050	1209
629	2053	1206
630	2056	1202
631	2059	1199
632	2063	1196
633	2066	1192
634	2069	1189
635	2072	1186
636	2075	1182
637	2078	1179
638	2081	1175
639	2084	1172
640	2087	1169
641	2090	1165
642	2093	1162
643	2096	1159
644	2099	1155
645	2103	1152
646	2106	1149
647	2109	1146
648	2112	1142
649	2115	1139
650	2119	1136
651	2122	1132
652	2125	1129
653	2128	1125
654	2131	1122
655	2134	1119
656	2137	1116
657	2141	1112
658	2144	1109
659	2147	1106
660	2150	1103
661	2153	1099
662	2157	1096
663	2160	1093
664	2163	1089
665	2166	1086
666	2170	1083
667	2173	1080
668	2176	1076
669	2179	1073
670	2183	1070
671	2186	1067
672	2190	1064
673	2193	1060
674	2196	1057
675	2199	1054
676	2203	1051
677	2206	1047
678	2209	1044
679	2212	1041
680	2216	1038
681	2220	1035
682	2223	1032
683	2226	1028
684	2230	1025
685	2233	1022
686	2236	1018
687	2239	1015
688	2242	1012
689	2246	1009
690	2249	1006
691	2252	1002
692	2255	999
693	2259	996
694	2262	993
695	2266	989
696	2269	986
697	2272	983
698	2275	979
699	2279	976
700	2282	973
701	2285	970
702	2288	966
703	2291	963
704	2295	960
705	2299	957
706	2302	954
707	2305	950
708	2309	947
709	2313	944
710	2316	941
711	2319	938
712	2323	935
713	2326	932
714	2330	928
715	2333	925
716	2336	922
717	2339	918
718	2342	915
719	2345	912
720	2348	908
721	2351	905
722	2354	902
723	2357	898
724	2360	895
725	2363	892
726	2366	888
727	2369	885
728	2372	882
729	2376	878
730	2379	875
731	2382	872
732	2385	868
733	2388	865
734	2391	862
735	2394	858
736	2397	855
737	2400	852
738	2403	848
739	2406	845
740	2409	842
741	2412	838
742	2415	835
743	2418	832
744	2421	828
745	2424	825
746	2427	822
747	2430	818
748	2433	815
749	2436	812
750	2440	809
751	2443	805
752	2446	802
753	2449	799
754	2452	795
755	2456	792
756	2459	789
757	2462	786
758	2465	782
759	2468	779
760	2472	776
761	2475	773
762	2478	769
763	2481	766
764	2484	763
765	2487	759
766	2490	756
767	2493	753
768	2496	750
769	2499	746
770	2502	743
771	2505	740
772	2508	736
773	2511	733
774	2514	730
775	2517	726
776	2521	723
777	2524	720
778	2527	717
779	2530	713
780	2533	710
781	2536	707
782	2539	703
783	2542	700
784	2545	697
785	2548	694
786	2552	690
787	2555	687
788	2558	684
789	2561	680
790	2564	677
791	2567	674
792	2570	671
793	2574	667
794	2577	664
795	2580	661
796	2583	658
797	2587	654
798	2589	651
799	2593	648
800	2596	644
801	2601	642
802	2604	638
803	2607	635
804	2611	632
805	2614	629
806	2617	626
807	2620	622
808	2623	619
809	2626	616
810	2629	612
811	2633	609
812	2636	606
813	2639	603
814	2642	599
815	2645	596
816	2649	593
817	2652	590
818	2655	586
819	2658	583
820	2661	580
821	2664	577
822	2667	573
823	2670	570
824	2674	567
825	2677	563
826	2680	560
827	2684	557
828	2687	554
829	2690	551
830	2693	547
831	2697	544
832	2700	541
833	2703	538
834	2707	534
835	2710	531
836	2713	528
837	2717	525
838	2720	522
839	2724	518
840	2727	515
841	2730	512
842	2733	509
843	2737	505
844	2740	502
845	2744	499
846	2747	496
847	2750	493
848	2754	489
849	2757	486
850	2760	483
851	2763	480
852	2767	476
853	2770	473
854	2773	470
855	2777	467
856	2780	463
857	2784	460
858	2787	457
859	2790	454
860	2793	451
861	2797	447
862	2800	444
863	2803	441
864	2806	437
865	2809	434
866	2812	431
867	2816	428
868	2819	424
869	2822	421
870	2825	418
871	2828	415
872	2831	411
873	2835	408
874	2838	405
875	2841	402
876	2844	398
877	2848	395
878	2851	392
879	2854	389
880	2857	386
881	2860	382
882	2864	379
883	2867	376
884	2870	372
885	2873	369
886	2877	366
887	2881	363
888	2884	360
889	2888	356
890	2891	353
891	2896	350
892	2900	347
893	2903	344
894	2906	341
895	2910	337
896	2913	334
897	2916	331
898	2920	328
899	2923	324
900	2927	321
901	2931	318
902	2934	315
903	2938	312
904	2941	308
905	2944	305
906	2947	302
907	2951	299
908	2954	295
909	2957	292
910	2961	289
911	2964	286
912	2967	282
913	2970	279
914	2974	276
915	2977	273
916	2980	269
917	2984	266
918	2988	263
919	2991	260
920	2994	256
921	2997	253
922	3000	250
923	3003	247
924	3007	243
925	3010	240
926	3013	237
927	3017	234
928	3021	230
929	3024	227
930	3027	224
931	3031	221
932	3034	217
933	3039	214
934	3042	211
935	3046	208
936	3049	205
937	3052	201
938	3056	198
939	3059	195
940	3062	192
941	3066	188
942	3069	185
943	3073	182
944	3076	179
945	3080	175
946	3083	172
947	3087	169
948	3090	166
949	3093	162
950	3097	159
951	3100	156
952	3104	153
953	3107	149
954	3111	146
955	3114	143
956	3117	140
957	3120	136
958	3124	133
959	3127	130
960	3130	127
961	3134	123
962	3137	120
963	3141	117
964	3145	114
965	3149	110
966	3153	107
967	3156	104
968	3160	101
969	3163	97
970	3166	94
971	3169	91
972	3172	88
973	3176	84
974	3179	81
975	3182	78
976	3185	74
977	3188	71
978	3192	68
979	3195	65
980	3198	61
981	3201	58
982	3204	55
983	3208	52
984	3211	48
985	3215	45
986	3218	42
987	3221	39
988	3224	35
989	3228	32
990	3231	29
991	3235	26
992	3238	22
993	3241	19
994	3244	16
995	3248	13
996	3251	9
997	3254	6
998	3258	3
999	3262	0
