iter	MultiClass
0	0.9647628071
1	0.8494741703
2	0.7544523918
3	0.6778810306
4	0.6128793301
5	0.5545897211
6	0.506755208
7	0.4628604426
8	0.4217999185
9	0.3856546169
10	0.3521296532
11	0.3233293849
12	0.2971985946
13	0.2735812502
14	0.2514054684
15	0.2330742061
16	0.2152683244
17	0.1989228089
18	0.1833673876
19	0.1704392266
20	0.1580776992
21	0.147239379
22	0.1366234038
23	0.1275640156
24	0.1189760745
25	0.1124992422
26	0.1058726062
27	0.09889691701
28	0.09271888222
29	0.08624253791
30	0.08056200169
31	0.07561439225
32	0.07103420438
33	0.06625604782
34	0.06271427413
35	0.05873014364
36	0.05496801824
37	0.05168817991
38	0.04955488287
39	0.04660045261
40	0.04387117293
41	0.04218688975
42	0.03956192508
43	0.03732393922
44	0.03558302849
45	0.03376956942
46	0.03178302713
47	0.03001390086
48	0.02831422565
49	0.02722679773
50	0.0262081203
51	0.02509643354
52	0.02392158649
53	0.02295923441
54	0.0218378477
55	0.02077929703
56	0.01971520815
57	0.01879132656
58	0.01815981684
59	0.01755866338
60	0.01675441541
61	0.01619382167
62	0.0156293669
63	0.01506044802
64	0.01455788488
65	0.01391762472
66	0.01330016006
67	0.01263290642
68	0.01217190623
69	0.01173452287
70	0.01142997754
71	0.01113434612
72	0.01073501447
73	0.01042260822
74	0.01010566338
75	0.009558765438
76	0.009134889485
77	0.008859788995
78	0.008730181489
79	0.008469621729
80	0.008153229199
81	0.007998338009
82	0.00786429043
83	0.007628527331
84	0.007487139278
85	0.007357653943
86	0.007209398845
87	0.006976465387
88	0.006804281902
89	0.006654570684
90	0.006517218784
91	0.006347152542
92	0.00617269589
93	0.006000291534
94	0.005842360956
95	0.005685546208
96	0.005572385662
97	0.005469411304
98	0.005361914086
99	0.005233876454
100	0.005104554264
101	0.005012497921
102	0.004907249844
103	0.004799817437
104	0.004684750163
105	0.004606817569
106	0.004510669212
107	0.004408063881
108	0.004326435526
109	0.004226859586
110	0.004151487464
111	0.004084284634
112	0.004014982654
113	0.003943308331
114	0.00387875221
115	0.003804749788
116	0.003741035176
117	0.003665759872
118	0.003592586544
119	0.003530490224
120	0.003473420164
121	0.003409893736
122	0.003353004248
123	0.003301136204
124	0.003241511267
125	0.003187619973
126	0.003140521236
127	0.003094833454
128	0.003049953491
129	0.003001285875
130	0.002960876573
131	0.002915613877
132	0.002874581679
133	0.002835442643
134	0.00279349948
135	0.002755243753
136	0.002721988683
137	0.002689327215
138	0.002654393081
139	0.002617104553
140	0.002585841165
141	0.002554054885
142	0.0025226865
143	0.002493331584
144	0.00246545325
145	0.002435448467
146	0.002408423483
147	0.002382671251
148	0.002356907766
149	0.00233156416
150	0.002306173377
151	0.002280564257
152	0.002257168587
153	0.00223129616
154	0.002207160582
155	0.002184735305
156	0.002162519041
157	0.002141854358
158	0.002120599736
159	0.002100126162
160	0.002078836046
161	0.002058406926
162	0.002036821358
163	0.002013591595
164	0.001992150041
165	0.0019747045
166	0.001956038274
167	0.001938613181
168	0.001922347601
169	0.001902609093
170	0.001885441848
171	0.001865966998
172	0.001849250312
173	0.001834438283
174	0.00181989731
175	0.001806949525
176	0.001792129129
177	0.001775597268
178	0.001761318692
179	0.001747651783
180	0.001734237678
181	0.001721633456
182	0.001708609693
183	0.001695027774
184	0.001680990771
185	0.001669242614
186	0.001657094244
187	0.001645584787
188	0.00163416519
189	0.00162393063
190	0.00161237416
191	0.001600955568
192	0.001590212872
193	0.001579385021
194	0.001567209527
195	0.001556602919
196	0.001546261344
197	0.001535852017
198	0.001524781018
199	0.001515151072
200	0.001503902576
201	0.001492414275
202	0.001482604235
